Company,Price Standard Deviation ($)
Lincoln,19658.050211265567
Saab,19653.740089295592
Cadillac,19517.12022009266
Plymouth,19065.997338438963
Lexus,17852.92349223386
Buick,17142.232626166784
Mercury,16445.17219495989
Nissan,16214.264016648038
Saturn,15990.223670790161
Ford,15849.090227174062
Mercedes-B,15722.807459394011
Oldsmobile,15711.345856540023
Toyota,15367.131714082667
BMW,15065.578723139215
Pontiac,14348.963592281809
Infiniti,13696.332844169314
Chevrolet,13311.06322340951
Volvo,12933.790184573989
Subaru,12920.771619566476
Audi,12904.243867056606
Volkswagen,12527.124010846379
Mitsubishi,11671.343035093698
Chrysler,11583.286811114973
Dodge,11187.592085074219
Honda,11148.629062166705
Jaguar,10222.53153282658
Jeep,9459.83441816623
Acura,8183.046414303539
Porsche,5261.839205807963
Hyundai,3485.9826494245417
